topic,n_poetry,n_prose,share_poetry_in_corpus,share_prose_in_corpus,ratio_poetry_over_prose
238,1,13,0.000819000819000819,0.0008899842541247347,0.9202419202419203
53,3,40,0.002457002457002457,0.0027384130896145682,0.8972358722358722
4,13,178,0.010647010647010647,0.01218593824878483,0.8737128343869917
293,1,14,0.000819000819000819,0.0009584445813650989,0.8545103545103546
185,2,28,0.001638001638001638,0.0019168891627301978,0.8545103545103546
287,1,14,0.000819000819000819,0.0009584445813650989,0.8545103545103546
229,1,15,0.000819000819000819,0.0010269049086054631,0.7975429975429976
203,2,30,0.001638001638001638,0.0020538098172109263,0.7975429975429976
89,2,31,0.001638001638001638,0.0021222701444512907,0.7718158040738686
40,3,47,0.002457002457002457,0.003217635380297118,0.7636049976475507
237,1,16,0.000819000819000819,0.0010953652358458273,0.7476965601965603
11,4,65,0.003276003276003276,0.0044499212706236736,0.7361935361935362
184,1,17,0.000819000819000819,0.0011638255630861914,0.7037144095967627
208,1,17,0.000819000819000819,0.0011638255630861914,0.7037144095967627
264,1,17,0.000819000819000819,0.0011638255630861914,0.7037144095967627
52,3,51,0.002457002457002457,0.0034914766892585746,0.7037144095967626
108,3,53,0.002457002457002457,0.003628397343739303,0.6771591488572621
193,1,19,0.000819000819000819,0.00130074621756692,0.6296392085865771
216,1,19,0.000819000819000819,0.00130074621756692,0.6296392085865771
230,1,21,0.000819000819000819,0.0014376668720476485,0.5696735696735696
175,1,21,0.000819000819000819,0.0014376668720476485,0.5696735696735696
103,2,42,0.001638001638001638,0.002875333744095297,0.5696735696735696
110,2,43,0.001638001638001638,0.002943794071335661,0.5564253471230216
120,1,22,0.000819000819000819,0.0015061271992880126,0.5437793165065893
132,1,24,0.000819000819000819,0.001643047853768741,0.4984643734643735
87,1,25,0.000819000819000819,0.0017115081810091053,0.4785257985257985
226,1,25,0.000819000819000819,0.0017115081810091053,0.4785257985257985
47,2,54,0.001638001638001638,0.0036968576709796672,0.44307944307944314
61,1,28,0.000819000819000819,0.0019168891627301978,0.4272551772551773
145,1,28,0.000819000819000819,0.0019168891627301978,0.4272551772551773
212,1,30,0.000819000819000819,0.0020538098172109263,0.3987714987714988
72,1,30,0.000819000819000819,0.0020538098172109263,0.3987714987714988
29,3,90,0.002457002457002457,0.0061614294516327784,0.3987714987714988
1,4,122,0.003276003276003276,0.008352159923324434,0.3922342610867201
182,1,31,0.000819000819000819,0.0021222701444512907,0.3859079020369343
100,1,33,0.000819000819000819,0.002259190798932019,0.36251954433772615
65,1,34,0.000819000819000819,0.002327651126172383,0.35185720479838134
107,1,37,0.000819000819000819,0.0025330321078934756,0.3233282422471612
9,2,74,0.001638001638001638,0.005066064215786951,0.3233282422471612
125,1,38,0.000819000819000819,0.00260149243513384,0.31481960429328854
30,1,41,0.000819000819000819,0.0028068734168549326,0.2917840234913406
15,1,42,0.000819000819000819,0.002875333744095297,0.2848367848367848
71,1,43,0.000819000819000819,0.002943794071335661,0.2782126735615108
45,1,45,0.000819000819000819,0.0030807147258163892,0.2658476658476659
67,1,46,0.000819000819000819,0.0031491750530567536,0.26006836876402095
24,1,48,0.000819000819000819,0.003286095707537482,0.24923218673218675
97,1,53,0.000819000819000819,0.003628397343739303,0.22571971628575405
121,1,53,0.000819000819000819,0.003628397343739303,0.22571971628575405
2,3,170,0.002457002457002457,0.011638255630861915,0.21111432287902876
20,1,58,0.000819000819000819,0.003970698979941124,0.20626112005422353
10,1,73,0.000819000819000819,0.004997603888546588,0.16387869812527348
36,1,75,0.000819000819000819,0.0051345245430273155,0.15950859950859952
8,1,78,0.000819000819000819,0.005339905524748409,0.15337365337365338
46,1,82,0.000819000819000819,0.005613746833709865,0.1458920117456703
0,2,174,0.001638001638001638,0.011912096939823372,0.13750741336948236
3,1,194,0.000819000819000819,0.013281303484630656,0.06166569568631425
311,0,8,0.0,0.0005476826179229136,0.0
335,0,7,0.0,0.00047922229068254944,0.0
154,0,19,0.0,0.00130074621756692,0.0
254,0,17,0.0,0.0011638255630861914,0.0
138,0,31,0.0,0.0021222701444512907,0.0
192,0,24,0.0,0.001643047853768741,0.0
227,0,20,0.0,0.0013692065448072841,0.0
325,0,12,0.0,0.0008215239268843705,0.0
324,0,11,0.0,0.0007530635996440063,0.0
233,0,24,0.0,0.001643047853768741,0.0
329,0,10,0.0,0.0006846032724036421,0.0
51,0,33,0.0,0.002259190798932019,0.0
262,0,14,0.0,0.0009584445813650989,0.0
285,0,8,0.0,0.0005476826179229136,0.0
328,0,13,0.0,0.0008899842541247347,0.0
147,0,27,0.0,0.0018484288354898336,0.0
142,0,30,0.0,0.0020538098172109263,0.0
197,0,13,0.0,0.0008899842541247347,0.0
180,0,19,0.0,0.00130074621756692,0.0
239,0,13,0.0,0.0008899842541247347,0.0
35,0,36,0.0,0.0024645717806531116,0.0
284,0,20,0.0,0.0013692065448072841,0.0
274,0,15,0.0,0.0010269049086054631,0.0
195,0,25,0.0,0.0017115081810091053,0.0
48,0,47,0.0,0.003217635380297118,0.0
74,0,66,0.0,0.004518381597864038,0.0
280,0,11,0.0,0.0007530635996440063,0.0
135,0,25,0.0,0.0017115081810091053,0.0
290,0,19,0.0,0.00130074621756692,0.0
50,0,55,0.0,0.0037653179982200316,0.0
88,0,32,0.0,0.0021907304716916546,0.0
304,0,13,0.0,0.0008899842541247347,0.0
198,0,23,0.0,0.0015745875265283768,0.0
21,0,60,0.0,0.004107619634421853,0.0
258,0,12,0.0,0.0008215239268843705,0.0
54,0,47,0.0,0.003217635380297118,0.0
223,0,25,0.0,0.0017115081810091053,0.0
201,0,18,0.0,0.0012322858903265558,0.0
62,0,31,0.0,0.0021222701444512907,0.0
178,0,26,0.0,0.0017799685082494695,0.0
249,0,21,0.0,0.0014376668720476485,0.0
160,0,35,0.0,0.0023961114534127473,0.0
306,0,12,0.0,0.0008215239268843705,0.0
153,0,31,0.0,0.0021222701444512907,0.0
144,0,31,0.0,0.0021222701444512907,0.0
245,0,21,0.0,0.0014376668720476485,0.0
288,0,15,0.0,0.0010269049086054631,0.0
360,0,6,0.0,0.00041076196344218524,0.0
18,0,90,0.0,0.0061614294516327784,0.0
186,0,9,0.0,0.0006161429451632779,0.0
26,0,69,0.0,0.00472376257958513,0.0
162,0,21,0.0,0.0014376668720476485,0.0
84,0,25,0.0,0.0017115081810091053,0.0
118,0,22,0.0,0.0015061271992880126,0.0
200,0,21,0.0,0.0014376668720476485,0.0
124,0,31,0.0,0.0021222701444512907,0.0
358,0,10,0.0,0.0006846032724036421,0.0
123,0,27,0.0,0.0018484288354898336,0.0
189,0,16,0.0,0.0010953652358458273,0.0
106,0,24,0.0,0.001643047853768741,0.0
119,0,28,0.0,0.0019168891627301978,0.0
117,0,34,0.0,0.002327651126172383,0.0
276,0,13,0.0,0.0008899842541247347,0.0
267,0,21,0.0,0.0014376668720476485,0.0
163,0,18,0.0,0.0012322858903265558,0.0
44,0,38,0.0,0.00260149243513384,0.0
43,0,54,0.0,0.0036968576709796672,0.0
16,0,92,0.0,0.006298350106113507,0.0
243,0,26,0.0,0.0017799685082494695,0.0
339,0,8,0.0,0.0005476826179229136,0.0
25,0,80,0.0,0.0054768261792291365,0.0
228,0,19,0.0,0.00130074621756692,0.0
148,0,31,0.0,0.0021222701444512907,0.0
231,0,16,0.0,0.0010953652358458273,0.0
207,0,12,0.0,0.0008215239268843705,0.0
83,0,36,0.0,0.0024645717806531116,0.0
196,0,18,0.0,0.0012322858903265558,0.0
152,0,27,0.0,0.0018484288354898336,0.0
